base_scale,possible_ET,real_ET,hit_ratio,particle_key,particle_hits,particle_hit_ratio
0.90000000,137498,18255,0.1327655675,,,
0.91000000,137496,17087,0.1242727061,,,
0.92000000,137494,17222,0.1252563748,,,
0.93000000,137494,16844,0.1225071639,,,
0.94000000,137494,16022,0.1165287213,,,
0.95000000,137485,15461,0.1124559043,,,
0.96000000,137483,13364,0.0972047453,,,
0.97000000,137479,11244,0.0817870366,,,
0.98000000,137470,9258,0.0673456027,,,
0.99000000,137464,7384,0.0537158820,,,
1.00000000,137460,6664,0.0484795577,,,
1.01000000,137453,6132,0.0446116127,,,
1.02000000,137451,6236,0.0453688951,,,
1.03000000,137450,7623,0.0554601673,,,
1.04000000,137446,9043,0.0657931115,,,
1.05000000,137438,10143,0.0738005501,,,
1.06000000,137433,11254,0.0818871741,,,
1.07000000,137431,12191,0.0887063326,,,
1.08000000,137424,12469,0.0907337874,,,
1.09000000,137418,12285,0.0893987687,,,
1.10000000,137411,12048,0.0876785701,,,
