base_scale,possible_ET,real_ET,hit_ratio,particle_key,particle_hits,particle_hit_ratio
0.99000000,27614,1541,0.0558050264,d,697,0.0252408199
0.99100000,27613,1531,0.0554448991,d,692,0.0250606598
0.99200000,27612,1532,0.0554831233,d,690,0.0249891352
0.99300000,27612,1530,0.0554106910,d,694,0.0251339997
0.99400000,27611,1522,0.0551229582,d,687,0.0248813879
0.99500000,27610,1519,0.0550162984,d,686,0.0248460703
0.99600000,27611,1517,0.0549418710,d,686,0.0248451704
0.99700000,27612,1509,0.0546501521,d,683,0.0247356222
0.99800000,27608,1514,0.0548391771,d,683,0.0247392060
0.99900000,27608,1513,0.0548029557,d,687,0.0248840916
1.00000000,27610,1504,0.0544730170,d,684,0.0247736327
1.00100000,27607,1508,0.0546238273,d,685,0.0248125475
1.00200000,27606,1506,0.0545533580,d,682,0.0247047743
1.00300000,27607,1497,0.0542253776,d,681,0.0246676568
1.00400000,27607,1499,0.0542978230,d,682,0.0247038795
1.00500000,27607,1501,0.0543702684,d,682,0.0247038795
1.00600000,27609,1487,0.0538592488,d,678,0.0245572096
1.00700000,27608,1489,0.0539336424,d,682,0.0247029846
1.00800000,27605,1494,0.0541206303,d,683,0.0247418946
1.00900000,27606,1487,0.0538651018,d,681,0.0246685503
1.01000000,27603,1489,0.0539434119,d,680,0.0246350034
